Web Search interest: etf; mutual fund
Worldwide; 2004 - present

Interest over time
Week,etf,mutual fund
2009-03-29 - 2009-04-04,66,38
2009-04-05 - 2009-04-11,61,41
2009-04-12 - 2009-04-18,63,43
2009-04-19 - 2009-04-25,62,35
2009-04-26 - 2009-05-02,55,33
2009-05-03 - 2009-05-09,69,40
2009-05-10 - 2009-05-16,63,37
2009-05-17 - 2009-05-23,64,54
2009-05-24 - 2009-05-30,60,51
2009-05-31 - 2009-06-06,77,56
2009-06-07 - 2009-06-13,67,53
2009-06-14 - 2009-06-20,61,50
2009-06-21 - 2009-06-27,54,47
2009-06-28 - 2009-07-04,54,45
2009-07-05 - 2009-07-11,57,44
2009-07-12 - 2009-07-18,53,47
2009-07-19 - 2009-07-25,58,55
2009-07-26 - 2009-08-01,64,56
2009-08-02 - 2009-08-08,64,56
2009-08-09 - 2009-08-15,68,48
2009-08-16 - 2009-08-22,67,48
2009-08-23 - 2009-08-29,64,49
2009-08-30 - 2009-09-05,60,46
2009-09-06 - 2009-09-12,55,54
2009-09-13 - 2009-09-19,63,58
2009-09-20 - 2009-09-26,57,50
2009-09-27 - 2009-10-03,53,48
2009-10-04 - 2009-10-10,64,51
2009-10-11 - 2009-10-17,66,50
2009-10-18 - 2009-10-24,65,54
2009-10-25 - 2009-10-31,56,47
2009-11-01 - 2009-11-07,60,44
2009-11-08 - 2009-11-14,62,54
2009-11-15 - 2009-11-21,65,52
2009-11-22 - 2009-11-28,60,50
2009-11-29 - 2009-12-05,60,56
2009-12-06 - 2009-12-12,54,58
2009-12-13 - 2009-12-19,55,53
2009-12-20 - 2009-12-26,52,57
2009-12-27 - 2010-01-02,57,60
2010-01-03 - 2010-01-09,70,71
2010-01-10 - 2010-01-16,68,73
2010-01-17 - 2010-01-23,58,61
2010-01-24 - 2010-01-30,58,55
2010-01-31 - 2010-02-06,57,58
2010-02-07 - 2010-02-13,55,58
2010-02-14 - 2010-02-20,48,57
2010-02-21 - 2010-02-27,52,51
2010-02-28 - 2010-03-06,54,62
2010-03-07 - 2010-03-13,54,69
2010-03-14 - 2010-03-20,49,63
2010-03-21 - 2010-03-27,52,61
2010-03-28 - 2010-04-03,50,60
2010-04-04 - 2010-04-10,55,68
